date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:18:50	12756/12756	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2017:18:50%20GMT	http://learnyouahaskell.com/chapters	chapters.html	(from )
00:18:50	1229/1229	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Nov%202013%2017:18:50%20GMT	http://learnyouahaskell.com/robots.txt		(from )
00:18:51	874/874	---M--	200	added ('OK')	text/css	etag:%22101276d-36a-4569347957100%22	http://learnyouahaskell.com/reset.css	reset.css	(from http://learnyouahaskell.com/chapters)
00:18:52	4257/4257	---M--	200	added ('OK')	text/css	etag:%221012780-10a1-4a86f717b483f%22	http://learnyouahaskell.com/style.css	style.css	(from http://learnyouahaskell.com/chapters)
00:18:53	311/311	---M--	200	added ('OK')	image/png	etag:%2238993e1-137-4a8da80d69971%22	http://learnyouahaskell.com/favicon.png	favicon.png	(from http://learnyouahaskell.com/chapters)
00:18:53	4034/4034	---M--	200	added ('OK')	text/css	etag:%2210127a2-fc2-48d148f925659%22	http://learnyouahaskell.com/sh/Styles/SyntaxHighlighter.css	sh/Styles/SyntaxHighlighter.css	(from http://learnyouahaskell.com/chapters)
00:18:54	2305/2305	---M--	200	added ('OK')	application/rss+xml	date:Mon,%2019%20Apr%202010%2008:10:22%20GMT	http://learnyouahaskell.com/rss.php	rss.php	(from http://learnyouahaskell.com/chapters)
00:18:55	11859/11859	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2017:18:55%20GMT	http://learnyouahaskell.com/introduction	introduction.html	(from http://learnyouahaskell.com/chapters)
00:19:00	25166/25166	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2017:18:56%20GMT	http://learnyouahaskell.com/types-and-typeclasses	types-and-typeclasses.html	(from http://learnyouahaskell.com/chapters)
00:19:01	45595/45595	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2017:18:55%20GMT	http://learnyouahaskell.com/starting-out	starting-out.html	(from http://learnyouahaskell.com/chapters)
00:19:01	23255/23255	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2017:18:58%20GMT	http://learnyouahaskell.com/recursion	recursion.html	(from http://learnyouahaskell.com/chapters)
00:19:02	35100/35100	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2017:18:57%20GMT	http://learnyouahaskell.com/syntax-in-functions	syntax-in-functions.html	(from http://learnyouahaskell.com/chapters)
00:19:09	62033/62033	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2017:19:01%20GMT	http://learnyouahaskell.com/higher-order-functions	higher-order-functions.html	(from http://learnyouahaskell.com/chapters)
00:19:15	75964/75964	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2017:19:02%20GMT	http://learnyouahaskell.com/modules	modules.html	(from http://learnyouahaskell.com/chapters)
00:19:16	41612/41612	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2017:19:10%20GMT	http://learnyouahaskell.com/functionally-solving-problems	functionally-solving-problems.html	(from http://learnyouahaskell.com/chapters)
00:19:25	117442/117442	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2017:19:02%20GMT	http://learnyouahaskell.com/making-our-own-types-and-typeclasses	making-our-own-types-and-typeclasses.html	(from http://learnyouahaskell.com/chapters)
00:19:26	144059/144059	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2017:19:03%20GMT	http://learnyouahaskell.com/input-and-output	input-and-output.html	(from http://learnyouahaskell.com/chapters)
00:19:34	87947/87947	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2017:19:17%20GMT	http://learnyouahaskell.com/a-fistful-of-monads	a-fistful-of-monads.html	(from http://learnyouahaskell.com/chapters)
00:19:35	47203/47203	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2017:19:27%20GMT	http://learnyouahaskell.com/zippers	zippers.html	(from http://learnyouahaskell.com/chapters)
00:19:36	12245/12245	---M--	200	added ('OK')	application/x-javascript	etag:%2210127a1-2fd5-455b47f1e2980%22	http://learnyouahaskell.com/sh/Scripts/shCore.js	sh/Scripts/shCore.js	(from http://learnyouahaskell.com/chapters)
00:19:36	3168/3168	---M--	200	added ('OK')	application/x-javascript	etag:%221012777-c60-468f094849800%22	http://learnyouahaskell.com/shBrushHaskell.js	shBrushHaskell.js	(from http://learnyouahaskell.com/chapters)
00:19:37	609/609	---M--	200	added ('OK')	application/x-javascript	etag:%221012778-261-45aca8085f940%22	http://learnyouahaskell.com/shBrushPlain.js	shBrushPlain.js	(from http://learnyouahaskell.com/chapters)
00:19:38	109/109	---M--	200	added ('OK')	application/x-shockwave-flash	etag:%221012793-6d-455b47e94d540%22	http://learnyouahaskell.com/sh/Scripts/clipboard.swf	sh/Scripts/clipboard.swf	(from http://learnyouahaskell.com/chapters)
00:19:39	207/207	---M--	200	added ('OK')	image/png	etag:%228df62046aae0509f341528c2548156c7%22	http://s3.amazonaws.com/lyah/bg.png	lyah/bg.png	(from http://learnyouahaskell.com/style.css)
00:19:40	276/276	---M--	200	added ('OK')	image/png	etag:%22a40af73b1498e3ba3a8d079cabd8ac8c%22	http://s3.amazonaws.com/lyah/prv.png	lyah/prv.png	(from http://learnyouahaskell.com/style.css)
00:19:40	274/274	---M--	200	added ('OK')	image/png	etag:%22b51390f68568e81bc2fc32cf8b0ab2f0%22	http://s3.amazonaws.com/lyah/nxt.png	lyah/nxt.png	(from http://learnyouahaskell.com/style.css)
00:19:42	5427/5427	---M--	200	added ('OK')	image/png	etag:%22a41476ca6c90dac2ee0032dca207b740%22	http://s3.amazonaws.com/lyah/bird.png	lyah/bird.png	(from http://learnyouahaskell.com/introduction)
00:19:42	156237/156237	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2017:19:16%20GMT	http://learnyouahaskell.com/functors-applicative-functors-and-monoids	functors-applicative-functors-and-monoids.html	(from http://learnyouahaskell.com/chapters)
00:19:42	125529/125529	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202013%2017:19:26%20GMT	http://learnyouahaskell.com/for-a-few-monads-more	for-a-few-monads-more.html	(from http://learnyouahaskell.com/chapters)
00:19:42	18272/18272	---M--	200	added ('OK')	image/jpeg	etag:%22e2955d13299b3fc36dfe0ce73b6d3008%22	http://s3.amazonaws.com/lyah/note.jpg	lyah/note.jpg	(from http://learnyouahaskell.com/style.css)
00:19:43	3950/3950	---M--	200	added ('OK')	image/png	etag:%2243f22036f77a6fe83a45d204e3063ea6%22	http://s3.amazonaws.com/lyah/fx.png	lyah/fx.png	(from http://learnyouahaskell.com/introduction)
00:19:43	7647/7647	---M--	200	added ('OK')	image/png	etag:%22d60bd8cfce1bdb2403946894cc56f356%22	http://s3.amazonaws.com/lyah/lazy.png	lyah/lazy.png	(from http://learnyouahaskell.com/introduction)
00:19:43	5357/5357	---M--	200	added ('OK')	image/png	etag:%22345ef822c5b7d85179c9186865feba5d%22	http://s3.amazonaws.com/lyah/boat.png	lyah/boat.png	(from http://learnyouahaskell.com/introduction)
00:19:44	5808/5808	---M--	200	added ('OK')	image/png	etag:%2267647be36ac9f8e24da446b8c9c8192d%22	http://s3.amazonaws.com/lyah/startingout.png	lyah/startingout.png	(from http://learnyouahaskell.com/starting-out)
00:19:44	4777/4777	---M--	200	added ('OK')	image/png	etag:%22c082c1d46af1061db9a75b8ab7621806%22	http://s3.amazonaws.com/lyah/ringring.png	lyah/ringring.png	(from http://learnyouahaskell.com/starting-out)
00:19:45	5382/5382	---M--	200	added ('OK')	image/png	etag:%2214fcd42d39ff6954403b334d7a676ccc%22	http://s3.amazonaws.com/lyah/baby.png	lyah/baby.png	(from http://learnyouahaskell.com/starting-out)
00:19:45	2901/2901	---M--	200	added ('OK')	image/png	etag:%22103e48b5559e83ebcdce36adff45c8f1%22	http://s3.amazonaws.com/lyah/list.png	lyah/list.png	(from http://learnyouahaskell.com/starting-out)
00:19:46	19389/19389	---M--	200	added ('OK')	image/png	etag:%22fbe2a10eead91265adb2f11c87a31ae4%22	http://s3.amazonaws.com/lyah/listmonster.png	lyah/listmonster.png	(from http://learnyouahaskell.com/starting-out)
00:19:46	7431/7431	---M--	200	added ('OK')	image/png	etag:%2293ff2bd017d0681cc9c61832d85a19b6%22	http://s3.amazonaws.com/lyah/cowboy.png	lyah/cowboy.png	(from http://learnyouahaskell.com/starting-out)
00:19:46	4679/4679	---M--	200	added ('OK')	image/png	etag:%22a665f9a1d8f277c367073be6db04b440%22	http://s3.amazonaws.com/lyah/kermit.png	lyah/kermit.png	(from http://learnyouahaskell.com/starting-out)
00:19:47	848/848	---M--	200	added ('OK')	image/png	etag:%222c0416ca99b170ffb489e05cf9f0a629%22	http://s3.amazonaws.com/lyah/setnotation.png	lyah/setnotation.png	(from http://learnyouahaskell.com/starting-out)
00:19:47	6026/6026	---M--	200	added ('OK')	image/png	etag:%225d2a861b48e7023869c282916f6d84f6%22	http://s3.amazonaws.com/lyah/tuple.png	lyah/tuple.png	(from http://learnyouahaskell.com/starting-out)
00:19:47	11622/11622	---M--	200	added ('OK')	image/png	etag:%22786f5bfb40c670b8bfb0ba2cae222cb7%22	http://s3.amazonaws.com/lyah/pythag.png	lyah/pythag.png	(from http://learnyouahaskell.com/starting-out)
00:19:48	4294/4294	---M--	200	added ('OK')	image/png	etag:%22b685c7102f1aa56db691d1021b222897%22	http://s3.amazonaws.com/lyah/cow.png	lyah/cow.png	(from http://learnyouahaskell.com/types-and-typeclasses)
00:19:48	4690/4690	---M--	200	added ('OK')	image/png	etag:%227ff47580cc5743d74c6511a630850494%22	http://s3.amazonaws.com/lyah/bomb.png	lyah/bomb.png	(from http://learnyouahaskell.com/types-and-typeclasses)
00:19:49	1988/1988	---M--	200	added ('OK')	image/png	etag:%228fc150e77910adc7d97b2a5845a5b5ff%22	http://s3.amazonaws.com/lyah/box.png	lyah/box.png	(from http://learnyouahaskell.com/types-and-typeclasses)
00:19:49	7014/7014	---M--	200	added ('OK')	image/png	etag:%2291cba6a14b8b4b87adbfb43ae74c2fd7%22	http://s3.amazonaws.com/lyah/classes.png	lyah/classes.png	(from http://learnyouahaskell.com/types-and-typeclasses)
00:19:50	8969/8969	---M--	200	added ('OK')	image/png	etag:%2293ac195aedefc3a4b2622c99d37de0f5%22	http://s3.amazonaws.com/lyah/pattern.png	lyah/pattern.png	(from http://learnyouahaskell.com/syntax-in-functions)
00:19:50	2694/2694	---M--	200	added ('OK')	image/png	etag:%2214dec19876c8c9b4455f39276412255c%22	http://s3.amazonaws.com/lyah/guards.png	lyah/guards.png	(from http://learnyouahaskell.com/syntax-in-functions)
00:19:50	6625/6625	---M--	200	added ('OK')	image/png	etag:%221748f380a0bfc8b519e1dea51482c188%22	http://s3.amazonaws.com/lyah/letitbe.png	lyah/letitbe.png	(from http://learnyouahaskell.com/syntax-in-functions)
00:19:51	4796/4796	---M--	200	added ('OK')	image/png	etag:%22726602d342c6655d6c74ae2f34dd79bd%22	http://s3.amazonaws.com/lyah/case.png	lyah/case.png	(from http://learnyouahaskell.com/syntax-in-functions)
00:19:51	10851/10851	---M--	200	added ('OK')	image/png	etag:%22fe2d852f7cbb5bb42f9143125f0adbfd%22	http://s3.amazonaws.com/lyah/recursion.png	lyah/recursion.png	(from http://learnyouahaskell.com/recursion)
00:19:52	18203/18203	---M--	200	added ('OK')	image/png	etag:%226eb3b9cf49562c7e14d307970aba6792%22	http://s3.amazonaws.com/lyah/maxs.png	lyah/maxs.png	(from http://learnyouahaskell.com/recursion)
00:19:53	17499/17499	---M--	200	added ('OK')	image/png	etag:%2259932605ea0a705285dfed93c5c25409%22	http://s3.amazonaws.com/lyah/painter.png	lyah/painter.png	(from http://learnyouahaskell.com/recursion)
00:19:53	8579/8579	---M--	200	added ('OK')	image/png	etag:%222e3dc13507a222084e1c3001acf4f7a2%22	http://s3.amazonaws.com/lyah/quickman.png	lyah/quickman.png	(from http://learnyouahaskell.com/recursion)
00:19:54	6104/6104	---M--	200	added ('OK')	image/png	etag:%22e50e5fc6768300d66c0f9e9eacd91ffc%22	http://s3.amazonaws.com/lyah/brain.png	lyah/brain.png	(from http://learnyouahaskell.com/recursion)
00:19:54	2984/2984	---M--	200	added ('OK')	image/png	etag:%22469fbd3879f664f0a33353174a14dbb2%22	http://s3.amazonaws.com/lyah/sun.png	lyah/sun.png	(from http://learnyouahaskell.com/higher-order-functions)
00:19:55	28919/28919	---M--	200	added ('OK')	image/png	etag:%2211097867a0e6c772c36285d97d94623b%22	http://s3.amazonaws.com/lyah/quicksort.png	lyah/quicksort.png	(from http://learnyouahaskell.com/recursion)
00:19:55	5673/5673	---M--	200	added ('OK')	image/png	etag:%2220869adba829c30f2f466beff5482353%22	http://s3.amazonaws.com/lyah/curry.png	lyah/curry.png	(from http://learnyouahaskell.com/higher-order-functions)
00:19:55	6114/6114	---M--	200	added ('OK')	image/png	etag:%224a78610dad8573df6189044b4618417a%22	http://s3.amazonaws.com/lyah/bonus.png	lyah/bonus.png	(from http://learnyouahaskell.com/higher-order-functions)
